"Date","variable","Parameter","volume.group"
2013-04-04,"k",0.257312706832952,"8"
2013-04-05,"k",0.256456466719784,"8"
2013-04-06,"k",0.255595958383949,"8"
2013-04-07,"k",0.254731181825449,"8"
2013-04-08,"k",0.253862137044282,"8"
2013-04-09,"k",0.252988824040449,"8"
2013-04-10,"k",0.25211124281395,"8"
2013-04-11,"k",0.251229393364785,"8"
2013-04-12,"k",0.250343275692953,"8"
2013-04-13,"k",0.249452889798455,"8"
2013-04-14,"k",0.248558235681292,"8"
2013-04-15,"k",0.247659313341461,"8"
2013-04-16,"k",0.246756122778965,"8"
2013-04-17,"k",0.245848663993803,"8"
2013-04-18,"k",0.244936936985974,"8"
2013-04-19,"k",0.244020941755479,"8"
2013-04-20,"k",0.243100678302318,"8"
2013-04-21,"k",0.242176146626491,"8"
2013-04-22,"k",0.241247346727997,"8"
2013-04-23,"k",0.240314278606837,"8"
2013-04-24,"k",0.239376942263011,"8"
2013-04-25,"k",0.238435337696519,"8"
2013-04-26,"k",0.237489464907361,"8"
2013-04-27,"k",0.236539323895536,"8"
2013-04-28,"k",0.235584914661046,"8"
2013-04-29,"k",0.234626237203889,"8"
2013-04-30,"k",0.233663291524066,"8"
2013-05-01,"k",0.232696077621576,"8"
2013-05-02,"k",0.231724595496421,"8"
2013-05-03,"k",0.230748845148599,"8"
2013-05-04,"k",0.229768826578111,"8"
2013-05-05,"k",0.228784539784957,"8"
2013-05-06,"k",0.227795984769137,"8"
2013-05-07,"k",0.22680316153065,"8"
2013-05-08,"k",0.225806070069497,"8"
2013-05-09,"k",0.224804710385678,"8"
2013-05-10,"k",0.223799082479193,"8"
2013-05-11,"k",0.222789186350042,"8"
2013-05-12,"k",0.221775021998224,"8"
2013-05-13,"k",0.220756589423741,"8"
2013-05-14,"k",0.219733888626591,"8"
2013-05-15,"k",0.218706919606775,"8"
2013-05-16,"k",0.217675682364292,"8"
2013-05-17,"k",0.216640176899144,"8"
2013-05-18,"k",0.215600403211329,"8"
2013-05-19,"k",0.214556361300848,"8"
2013-05-20,"k",0.213508051167701,"8"
2013-05-21,"k",0.212455472811887,"8"
2013-01-21,"Y",0.296267000489561,"8"
2013-01-22,"Y",0.296288554184006,"8"
2013-01-23,"Y",0.296299466197706,"8"
2013-01-24,"Y",0.296310468322391,"8"
2013-01-25,"Y",0.296321560558061,"8"
2013-01-26,"Y",0.296332742904717,"8"
2013-01-27,"Y",0.296344015362357,"8"
2013-01-28,"Y",0.296355377930982,"8"
2013-01-29,"Y",0.296366830610593,"8"
2013-01-30,"Y",0.296378373401188,"8"
2013-01-31,"Y",0.296390006302769,"8"
2013-02-01,"Y",0.296401729315334,"8"
2013-02-02,"Y",0.296413542438885,"8"
2013-02-03,"Y",0.296425445673421,"8"
2013-02-04,"Y",0.296437439018941,"8"
2013-02-05,"Y",0.296449522475447,"8"
2013-02-06,"Y",0.296461696042938,"8"
2013-02-07,"Y",0.296473959721414,"8"
2013-02-08,"Y",0.296486313510875,"8"
2013-02-09,"Y",0.296498757411321,"8"
2013-02-10,"Y",0.296511291422752,"8"
2013-02-11,"Y",0.296523915545168,"8"
2013-02-12,"Y",0.296536629778569,"8"
2013-02-13,"Y",0.296549434122955,"8"
2013-02-14,"Y",0.296562328578326,"8"
2013-02-15,"Y",0.296575313144683,"8"
2013-02-16,"Y",0.296588387822024,"8"
2013-02-17,"Y",0.296601552610351,"8"
2013-02-18,"Y",0.296614807509662,"8"
2013-02-19,"Y",0.296628152519959,"8"
2013-02-20,"Y",0.29664158764124,"8"
2013-02-21,"Y",0.296655112873507,"8"
2013-02-22,"Y",0.296668728216758,"8"
2013-02-23,"Y",0.296682433670995,"8"
2013-02-24,"Y",0.296696229236217,"8"
2013-02-25,"Y",0.296710114912424,"8"
2013-02-26,"Y",0.296724090699616,"8"
2013-02-27,"Y",0.296738156597793,"8"
2013-02-28,"Y",0.296752312606955,"8"
2013-03-01,"Y",0.296766558727102,"8"
2013-03-02,"Y",0.296780894958234,"8"
2013-03-03,"Y",0.296795321300351,"8"
2013-03-04,"Y",0.296809837753453,"8"
2013-03-05,"Y",0.29682444431754,"8"
2013-03-06,"Y",0.296839140992613,"8"
2013-03-07,"Y",0.29685392777867,"8"
2013-03-08,"Y",0.296868804675712,"8"
2013-03-09,"Y",0.29688377168374,"8"
2013-03-10,"Y",0.296898828802752,"8"
2013-03-11,"Y",0.29691397603275,"8"
2013-03-12,"Y",0.296929213373733,"8"
2013-03-13,"Y",0.2969445408257,"8"
2013-03-14,"Y",0.296959958388653,"8"
2013-03-15,"Y",0.296975466062591,"8"
2013-03-16,"Y",0.296991063847514,"8"
2013-03-17,"Y",0.297006751743422,"8"
2013-03-18,"Y",0.297022529750315,"8"
2013-03-19,"Y",0.297038397868192,"8"
2013-03-20,"Y",0.297054356097055,"8"
2013-03-21,"Y",0.297070404436904,"8"
2013-03-22,"Y",0.297086542887737,"8"
